type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0,-0.01507863961160183,-0.003979266155511141,-0.0016572914319112897,-0.014541368000209332,0.012005327269434929,-0.010175235569477081,0.012690391391515732,0.0041128117591142654,-0.00786145031452179,0.007499611936509609,0.010903840884566307,0.005343959201127291,-0.014979287050664425,-0.008137372322380543,-0.00836007110774517,0.0029971867334097624,-0.0035242775920778513,0.013994787819683552,-0.00238944124430418,0.012014966458082199,-0.00475552910938859,0.009628191590309143,-0.004115039017051458,-0.0017690658569335938,0.004299960099160671,-0.015550700947642326,-0.008828277699649334,3.676445339806378e-05,0.0116903530433774,0.00852740928530693,0.007976253516972065,0.006361702922731638
1,0.015358276665210724,0.012440665625035763,0.002950519323348999,0.014402669854462147,0.003393053077161312,0.008215251378715038,-0.009831993840634823,-0.014412992633879185,-0.012102074921131134,0.015563854947686195,0.006470897234976292,0.001199275953695178,-0.013630039058625698,-0.0006991918198764324,0.012941470369696617,0.002597970888018608,0.006299386266618967,0.013306969776749611,0.013972979038953781,-0.01176115870475769,-0.005597562529146671,-0.010114102624356747,-0.0018580576870590448,-0.008057162165641785,0.009134851396083832,-0.007643894292414188,0.010984763503074646,-0.013049743138253689,0.009514852426946163,-0.014115325175225735,0.004776816349476576,0.0028340599965304136
2,-0.004932226613163948,0.009293284267187119,0.0020186572801321745,0.015217574313282967,0.010802710428833961,0.012505331076681614,-0.010399536229670048,0.007861766964197159,0.0032138817477971315,0.008863983675837517,0.015462057664990425,0.011607905849814415,-0.01203364972025156,0.013836354948580265,0.009786320850253105,0.013830252923071384,0.009521806612610817,0.013232659548521042,-0.015521517023444176,0.013023209758102894,0.0025177907664328814,0.01465159934014082,-0.0009651044383645058,0.011762158013880253,0.012909743934869766,-0.011121501214802265,-0.0003273888141848147,-0.01196650043129921,0.0004991870955564082,0.0037658975925296545,-0.013435031287372112,-0.015240333043038845
3,-0.005060396622866392,0.002416730858385563,-0.008144675754010677,0.006012254860252142,0.005224048625677824,-0.0030466823372989893,-0.004444435238838196,0.0127479312941432,-0.009498552419245243,-0.013631327077746391,-0.012621268630027771,0.004237382207065821,0.009371749125421047,0.0002790999715216458,-0.008473820053040981,-0.0010508080013096333,-0.009020432829856873,-0.006001126021146774,-0.007553179282695055,-0.007535567972809076,-0.00800795666873455,0.0024174326099455357,-0.01128316018730402,-0.004287742078304291,0.013858109712600708,-0.0117250457406044,-0.00646392535418272,-0.009475493803620338,-0.015533914789557457,-0.00311261392198503,-0.0007767262868583202,0.0026101158000528812
4,0.009742979891598225,0.011024508625268936,-0.008372779935598373,0.006175410468131304,0.006039564032107592,0.0031184121035039425,0.013978064060211182,-0.015375010669231415,0.0012121880427002907,-0.0071479035541415215,-0.009929929859936237,-0.01548675261437893,0.014269853942096233,0.005717972759157419,0.005013092886656523,0.0033658999018371105,0.012665614485740662,0.012075480073690414,-0.013159438036382198,-0.011714668944478035,-0.013429020531475544,-0.010291414335370064,0.00812170933932066,0.00045357251656241715,0.004065542947500944,-0.0009736238280311227,0.010505659505724907,-0.0014659558655694127,-0.003698516171425581,0.012950276024639606,-0.013026219792664051,0.002441275864839554
5,-0.01210059691220522,0.005099682603031397,0.0019510320853441954,0.008067349903285503,-0.010363076813519001,-0.004251648206263781,-0.012959280051290989,0.009707666002213955,0.00500081479549408,-0.012066598050296307,-0.00038618166581727564,0.007655886467546225,-0.011775536462664604,-0.006287629250437021,0.012476530857384205,-0.004919964354485273,-0.0066545624285936356,-0.00637586647644639,0.012118724174797535,0.005092464853078127,0.013021058402955532,-0.008075711317360401,-0.013966075144708157,-0.012470243498682976,-0.006494170520454645,0.0013881956692785025,0.015472141094505787,7.866987289162353e-05,-0.010467269457876682,-0.01147734746336937,-0.003636675886809826,0.012618325650691986
6,0.013262482360005379,-0.013544617220759392,-0.001729633891955018,-0.012466920539736748,-0.0015914571704342961,-0.0015512359095737338,-0.01079755648970604,-0.0064789108000695705,0.012527752667665482,0.011098255403339863,0.009349098429083824,-0.011061586439609528,0.011385438963770866,0.009557252749800682,0.01024963241070509,-0.008327782154083252,0.0034039414022117853,-0.006423632614314556,0.0034474937710911036,-0.011780723929405212,0.013877581804990768,-0.0017740725306794047,-0.011778094805777073,0.002222057431936264,0.002138968789950013,0.0068434118293225765,-0.010460834950208664,0.01326750312000513,0.015101560391485691,-0.015001174993813038,0.008570712991058826,-0.007325734943151474
7,-0.01041347999125719,0.013843714259564877,-0.00573533633723855,0.008429139852523804,-0.00012026111653540283,-0.0038437580224126577,0.004584049340337515,0.008596032857894897,0.009604580700397491,-0.010517052374780178,-0.010555198416113853,0.013680550269782543,0.005104123614728451,0.008721848949790001,-0.005895406473428011,0.008230388164520264,0.010501081123948097,0.006324721034616232,0.00046625989489257336,-0.003316943533718586,-0.0018598601454868913,0.010557612404227257,0.007755989674478769,-0.0042647370137274265,0.009475836530327797,-0.014080927707254887,0.01193236280232668,0.00014301699411589652,0.0077014099806547165,-0.0027236135210841894,0.002969705034047365,0.01078963652253151
8,0.002909159054979682,0.0015484349569305778,-0.0069943759590387344,0.0036891628988087177,0.00842002872377634,-0.004470675718039274,-0.013971063308417797,-0.013800293207168579,0.0075442069210112095,-0.010611138306558132,-0.00456576980650425,-0.006714554037898779,0.0051862942054867744,-0.004259232897311449,-0.012911495752632618,0.008514410816133022,-0.010343922302126884,0.010214132256805897,0.004569642245769501,0.0028674595523625612,-0.0033992701210081577,0.007421824149787426,-0.006014223210513592,-0.0014268358936533332,0.009103940799832344,-0.008042190223932266,0.014044096693396568,0.00816344004124403,0.0117604685947299,-0.015344930812716484,0.0015734779881313443,0.005469653755426407
9,0.012086308561265469,0.013140161521732807,-0.003625573357567191,-0.01551960501819849,0.0012626220704987645,0.0017119700787588954,0.01290128193795681,-0.0010111465817317367,-0.006437364500015974,0.01304558664560318,0.006341760978102684,0.00027701162616722286,0.0030667674727737904,-0.00021397319505922496,-0.00782367866486311,-0.0032531407196074724,-0.00617865938693285,-0.014685604721307755,0.009731425903737545,0.0101696215569973,-0.005161116365343332,0.007387586869299412,0.006666450761258602,0.009088114835321903,-0.008458482101559639,0.009370488114655018,-0.0007789473747834563,0.014659802429378033,-0.000955164956394583,0.012641455046832561,0.002192065119743347,0.0014194345567375422
